Date,description,balance,deposit,stocks,expenses,income
2020-01-02,0,25000000.0,0.0,0.0,0.0,0.0
2020-01-03,deposit | Fortune 500 Company,25025000.0,25000.0,0.0,0.0,0.0
2020-01-17,deposit | Fortune 500 Company,25050000.0,25000.0,0.0,0.0,0.0
2020-01-29,deposit | real estate + dividends + private equity,25100000.0,50000.0,0.0,0.0,0.0
2020-01-31,deposit | Fortune 500 Company,25125000.0,25000.0,0.0,0.0,0.0
2020-02-01,credit card,25127961.59,0.0,1430465.0,17108.41,20070.0
2020-02-14,deposit | Fortune 500 Company,25152961.59,25000.0,0.0,0.0,0.0
2020-02-26,deposit | real estate + dividends + private equity,25202961.59,50000.0,0.0,0.0,0.0
2020-02-28,deposit | Fortune 500 Company,25227961.59,25000.0,0.0,0.0,0.0
2020-03-01,credit card,25217844.78,0.0,1291189.63,13581.81,3465.0
2020-03-13,deposit | Fortune 500 Company,25242844.78,25000.0,0.0,0.0,0.0
2020-03-25,deposit | real estate + dividends + private equity,25292844.78,50000.0,0.0,0.0,0.0
2020-03-27,deposit | Fortune 500 Company,25317844.78,25000.0,0.0,0.0,0.0
2020-04-01,credit card,25308981.73,0.0,1489943.41,16233.05,7370.0
2020-04-10,deposit | Fortune 500 Company,25333981.73,25000.0,0.0,0.0,0.0
2020-04-24,deposit | Fortune 500 Company,25358981.73,25000.0,0.0,0.0,0.0
2020-04-29,deposit | real estate + dividends + private equity,25408981.73,50000.0,0.0,0.0,0.0
2020-05-01,credit card,25398143.6,0.0,1549219.68,16846.13,6008.0
2020-05-08,deposit | Fortune 500 Company,25423143.6,25000.0,0.0,0.0,0.0
2020-05-22,deposit | Fortune 500 Company,25448143.6,25000.0,0.0,0.0,0.0
2020-05-27,deposit | real estate + dividends + private equity,25498143.6,50000.0,0.0,0.0,0.0
2020-06-01,credit card,25489808.88,0.0,1644601.28,20680.72,12346.0
2020-06-05,deposit | Fortune 500 Company,25514808.88,25000.0,0.0,0.0,0.0
2020-06-19,deposit | Fortune 500 Company,25539808.88,25000.0,0.0,0.0,0.0
2020-06-24,deposit | real estate + dividends + private equity,25589808.88,50000.0,0.0,0.0,0.0
2020-07-01,credit card,25571874.61,0.0,1776377.92,24026.27,6092.0
2020-07-03,deposit | Fortune 500 Company,25596874.61,25000.0,0.0,0.0,0.0
2020-07-17,deposit | Fortune 500 Company,25621874.61,25000.0,0.0,0.0,0.0
2020-07-29,deposit | real estate + dividends + private equity,25671874.61,50000.0,0.0,0.0,0.0
2020-07-31,deposit | Fortune 500 Company,25696874.61,25000.0,0.0,0.0,0.0
2020-08-01,credit card,25680428.81,0.0,2027816.75,31386.8,14941.0
2020-08-14,deposit | Fortune 500 Company,25705428.81,25000.0,0.0,0.0,0.0
2020-08-26,deposit | real estate + dividends + private equity,25755428.81,50000.0,0.0,0.0,0.0
2020-08-28,deposit | Fortune 500 Company,25780428.81,25000.0,0.0,0.0,0.0
2020-09-01,credit card,25760298.66,0.0,1885652.6,21515.15,1385.0
2020-09-11,deposit | Fortune 500 Company,25785298.66,25000.0,0.0,0.0,0.0
2020-09-23,deposit | real estate + dividends + private equity,25835298.66,50000.0,0.0,0.0,0.0
2020-09-25,deposit | Fortune 500 Company,25860298.66,25000.0,0.0,0.0,0.0
2020-10-01,credit card,25851032.67,0.0,1825525.97,22162.99,12897.0
2020-10-09,deposit | Fortune 500 Company,25876032.67,25000.0,0.0,0.0,0.0
2020-10-23,deposit | Fortune 500 Company,25901032.67,25000.0,0.0,0.0,0.0
2020-10-28,deposit | real estate + dividends + private equity,25951032.67,50000.0,0.0,0.0,0.0
