Date,Transaction Description,Category,Amount,Type
2020-01-14,Clothing at Zara,Shopping,448.68,Expense
2020-01-31,Housing rental fee,Rent,1712.08,Expense
2020-01-29,Home goods at IKEA,Shopping,166.81,Expense
2020-01-25,General health & fitness transaction,Health & Fitness,1211.41,Expense
2020-01-18,Brunch at The Smith,Food & Drink,1520.03,Expense
2020-01-04,Housing rental fee,Rent,1185.08,Expense
2020-01-26,Wages from Apple Inc.,Salary,1077.09,Expense
2020-01-31,Electronics from Best Buy,Shopping,563.17,Expense
2020-01-31,Dinner at Carbone (fine dining),Food & Drink,1325.91,Expense
2020-01-02,Brunch at The Smith,Food & Drink,1485.69,Expense
2020-01-30,General health & fitness transaction,Health & Fitness,1158.93,Expense
2020-01-02,Mobile phone plan - Bell Canada,Utilities,1475.58,Expense
2020-01-21,Netflix subscription,Entertainment,1914.85,Expense
2020-01-25,Housing rental fee,Rent,766.06,Expense
2020-01-13,Brunch at The Smith,Food & Drink,1126.88,Expense
2020-02-09,Netflix subscription,Entertainment,1827.14,Expense
2020-02-11,General health & fitness transaction,Health & Fitness,433.13,Expense
2020-02-16,Gas bill - Enbridge,Utilities,1023.96,Expense
2020-02-13,Wages from Apple Inc.,Salary,294.31,Expense
2020-02-05,Housing rental fee,Rent,1222.17,Expense
2020-02-16,Home goods at IKEA,Shopping,730.37,Expense
2020-02-26,General travel transaction,Travel,1942.45,Expense
2020-02-20,Amazon purchase,Shopping,769.42,Expense
2020-02-07,General travel transaction,Travel,1979.15,Expense
2020-02-27,Dinner at Carbone (fine dining),Food & Drink,1363.76,Expense
2020-02-29,General travel transaction,Travel,1944.06,Expense
2020-02-07,Concert tickets - Drake,Entertainment,1372.38,Expense
2020-02-08,Lunch at Chipotle,Food & Drink,465.81,Expense
2020-02-02,General health & fitness transaction,Health & Fitness,333.68,Expense
2020-02-04,General travel transaction,Travel,1406.62,Expense
2020-03-11,Monthly rent payment to landlord,Rent,1956.19,Expense
2020-03-18,General health & fitness transaction,Health & Fitness,881.82,Expense
2020-03-12,Electricity bill - Hydro One,Utilities,537.46,Expense
2020-03-14,Clothing at Zara,Shopping,1929.08,Expense
2020-03-03,Apartment lease payment,Rent,1742.33,Expense
2020-03-04,Grocery run at Whole Foods,Food & Drink,1201.9,Expense
2020-03-09,Condo rent transfer,Rent,1858.91,Expense
2020-03-15,Broadway show tickets,Entertainment,1428.77,Expense
2020-03-24,Netflix subscription,Entertainment,144.13,Expense
2020-03-04,Broadway show tickets,Entertainment,314.15,Expense
2020-03-11,Condo rent transfer,Rent,180.45,Expense
2020-03-09,General travel transaction,Travel,486.51,Expense
2020-03-23,Brunch at The Smith,Food & Drink,151.28,Expense
2020-03-21,Condo rent transfer,Rent,503.33,Expense
2020-03-12,Water services - City of Toronto,Utilities,265.5,Expense
2020-04-27,Concert tickets - Drake,Entertainment,340.96,Expense
2020-04-06,Freelance payment - Upwork,Salary,493.56,Expense
